number,title,arc,series,japanese_air_date,english_air_date,filler_status,characters
21,Sasori's Real Face,Kazekage Rescue Mission,Shippuden,"July 26, 2007","February 10, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Chiyo', 'Might Guy', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Temari', 'Kankurō', 'Ebizō', 'Sasori', 'Deidara', 'Matsuri']"
22,Chiyo's Secret Skills,Kazekage Rescue Mission,Shippuden,"August 02, 2007","February 17, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Chiyo', 'Might Guy', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Sasori', 'Deidara']"
23,Father and Mother (episode),Kazekage Rescue Mission,Shippuden,"August 02, 2007","February 24, 2010",Canon,"['Sakura Haruno', 'Chiyo', 'Sasori', 'Sasori']"
24,The Third Kazekage (episode),Kazekage Rescue Mission,Shippuden,"August 09, 2007","February 24, 2010",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Chiyo', 'Tsunade', 'Sasori', 'Deidara', 'Might Guy', 'Rock Lee', 'Neji Hyūga', 'Tenten']"
25,Three Minutes Between Life and Death,Kazekage Rescue Mission,Shippuden,"August 16, 2007","March 03, 2010",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Chiyo', 'Sasori', 'Deidara']"
26,Puppet Fight: 10 vs 100!,Kazekage Rescue Mission,Shippuden,"August 23, 2007","March 10, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Chiyo', 'Sasori', 'Deidara']"
27,Impossible Dream,Kazekage Rescue Mission,Shippuden,"August 30, 2007","March 17, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Chiyo', 'Sasori', 'Sasori', 'Rock Lee']"
28,Beasts! Alive Again!,Kazekage Rescue Mission,Shippuden,"September 13, 2007","March 24, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Might Guy', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Chiyo']"
29,Kakashi Enlightened!,Kazekage Rescue Mission,Shippuden,"September 27, 2007","March 31, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Chiyo', 'Might Guy', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Deidara']"
30,Aesthetics of an Instant!,Kazekage Rescue Mission,Shippuden,"September 27, 2007","April 07, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Chiyo', 'Might Guy', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Deidara', 'Jiraiya']"
31,The Legacy!,Kazekage Rescue Mission,Shippuden,"October 18, 2007","April 14, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Chiyo', 'Might Guy', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Gaara', 'Kankurō', 'Temari', 'Ebizō', 'Matsuri']"
32,Return of the Kazekage,Kazekage Rescue Mission,Shippuden,"October 25, 2007","April 21, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Might Guy', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Gaara', 'Kankurō', 'Temari', 'Ebizō', 'Baki', 'Tsunade', 'Shizune', 'Deidara', 'Zetsu', 'Tobi', 'Sai', 'Danzō']"
33,The New Target,Tenchi Bridge Reconnaissance Mission,Shippuden,"November 08, 2007","April 28, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Sai', 'Tsunade', 'Shizune', 'Might Guy', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Shikamaru Nara', 'Chōji Akimichi', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Kotetsu Hagane', 'Izumo Kamizuki']"
34,Formation! New Team Kakashi!,Tenchi Bridge Reconnaissance Mission,Shippuden,"November 15, 2007","May 05, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Yamato', 'Sai', 'Tsunade', 'Shizune', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Danzō', 'Homura Mitokado', 'Koharu Utatane']"
35,An Unnecessary Addition,Tenchi Bridge Reconnaissance Mission,Shippuden,"November 22, 2007","May 12, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Yamato', 'Sai', 'Jiraiya', 'Tsunade', 'Shizune', 'Danzō', 'Hyō']"
36,The Fake Smile,Tenchi Bridge Reconnaissance Mission,Shippuden,"November 29, 2007","May 19, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Yamato', 'Sai', 'Tsunade', 'Shizune', 'Kaori']"
37,Untitled (episode),Tenchi Bridge Reconnaissance Mission,Shippuden,"November 29, 2007","May 26, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato']"
38,Simulation,Tenchi Bridge Reconnaissance Mission,Shippuden,"December 06, 2007","June 02, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato']"
39,The Tenchi Bridge (episode),Tenchi Bridge Reconnaissance Mission,Shippuden,"December 13, 2007","June 16, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Yamato', 'Sai', 'Orochimaru', 'Kabuto Yakushi', 'Hiruko']"
40,Nine-Tails Unleashed!,Tenchi Bridge Reconnaissance Mission,Shippuden,"December 20, 2007","June 23, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Yamato', 'Sai', 'Orochimaru', 'Kabuto Yakushi', 'Kakashi Hatake', 'Jiraiya', 'Tsunade']"
41,The Top-Secret Mission Begins!,Tenchi Bridge Reconnaissance Mission,Shippuden,"December 20, 2007","June 30, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Yamato', 'Sai', 'Orochimaru', 'Kabuto Yakushi']"
42,Orochimaru vs. Jinchūriki,Tenchi Bridge Reconnaissance Mission,Shippuden,"January 10, 2008","July 07, 2010",Canon,"['Sakura Haruno', 'Sai', 'Yamato', 'Orochimaru', 'Kabuto Yakushi']"
43,Sakura's Tears,Tenchi Bridge Reconnaissance Mission,Shippuden,"January 17, 2008","July 14, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Orochimaru', 'Kabuto Yakushi']"
44,The Secret of the Battle,Tenchi Bridge Reconnaissance Mission,Shippuden,"January 24, 2008","July 21, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Orochimaru', 'Kabuto Yakushi']"
45,The Consequences of Betrayal,Tenchi Bridge Reconnaissance Mission,Shippuden,"January 31, 2008","July 28, 2010",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Orochimaru', 'Kabuto Yakushi']"
46,The Unfinished Page,Tenchi Bridge Reconnaissance Mission,Shippuden,"February 07, 2008","August 04, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Orochimaru', 'Kabuto Yakushi', 'Sasuke Uchiha', 'Jiraiya']"
47,Infiltration: The Den of the Snake!,Tenchi Bridge Reconnaissance Mission,Shippuden,"February 14, 2008","August 11, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Orochimaru', 'Kabuto Yakushi', 'Sasuke Uchiha']"
48,Bonds,Tenchi Bridge Reconnaissance Mission,Shippuden,"February 28, 2008","August 18, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato']"
49,Something Important…,Tenchi Bridge Reconnaissance Mission,Shippuden,"March 06, 2008","August 25, 2010",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Kabuto Yakushi']"
50,The Picture Book's Story,Tenchi Bridge Reconnaissance Mission,Shippuden,"March 13, 2008","September 01, 2010",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Orochimaru', 'Kabuto Yakushi', 'Shin']"
51,Reunion (episode),Tenchi Bridge Reconnaissance Mission,Shippuden,"March 20, 2008","September 08, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Kabuto Yakushi', 'Sasuke Uchiha']"
52,The Power of the Uchiha,Tenchi Bridge Reconnaissance Mission,Shippuden,"March 20, 2008","September 15, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Kabuto Yakushi', 'Sasuke Uchiha', 'Nine-Tailed Fox']"
53,Title (episode),Tenchi Bridge Reconnaissance Mission,Shippuden,"April 03, 2008","October 27, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Orochimaru', 'Kabuto Yakushi', 'Sasuke Uchiha', 'Kakashi Hatake', 'Shizune', 'Homura Mitokado', 'Koharu Utatane', 'Danzō', 'Tsunade', 'Jiraiya']"
54,Nightmare,Twelve Guardian Ninja (Arc),Shippuden,"April 03, 2008","November 03, 2010",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Kakashi Hatake', 'Asuma Sarutobi', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Tsunade', 'Shizune', 'Fudō', 'Fuen']"
55,Wind (episode),Twelve Guardian Ninja (Arc),Shippuden,"April 17, 2008","November 10, 2010",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Yamato', 'Tsunade']"
56,Writhe,Twelve Guardian Ninja (Arc),Shippuden,"April 24, 2008","November 17, 2010",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Kakashi Hatake', 'Asuma Sarutobi', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Tsunade', 'Konohamaru', 'Shizune', 'Kazuma']"
57,Robbed of Sleep,Twelve Guardian Ninja (Arc),Shippuden,"May 08, 2008","December 01, 2010",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Sora', 'Chiriku']"
58,Loneliness,Twelve Guardian Ninja (Arc),Shippuden,"May 08, 2008","December 08, 2010",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Sora', 'Chiriku', 'Bansai']"
59,A New Enemy,Twelve Guardian Ninja (Arc),Shippuden,"May 15, 2008","December 15, 2010",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Tsunade', 'Shizune', 'Sora', 'Chiriku', 'Kazuma', 'Fudō', 'Fuen', 'Fūka', 'Danzō']"
60,Impermanence,Twelve Guardian Ninja (Arc),Shippuden,"May 22, 2008","December 22, 2010",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Tsunade', 'Shizune', 'Sora', 'Chiriku', 'Kazuma', 'Fudō', 'Fuen', 'Fūka', 'Danzō']"
61,Contact,Twelve Guardian Ninja (Arc),Shippuden,"May 29, 2008","December 29, 2010",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Sora', 'Chiriku', 'Kazuma', 'Fudō', 'Fuen', 'Fūka']"
62,Teammate,Twelve Guardian Ninja (Arc),Shippuden,"June 05, 2008","January 05, 2011",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Sora', 'Asuma Sarutobi', 'Shikamaru Nara', 'Chōji Akimichi', 'Kiba Inuzuka', 'Rock Lee', 'Tsunade', 'Shizune', 'Kazuma', 'Fudō', 'Fuen', 'Fūka']"
63,The Two Kings,Twelve Guardian Ninja (Arc),Shippuden,"June 19, 2008","January 12, 2011",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Yamato', 'Sora', 'Asuma Sarutobi', 'Kazuma', 'Kurenai Yūhi', 'Teuchi', 'Ayame', 'Tsunade', 'Shizune', 'Chiriku']"
64,The Jet-Black Signal Fire,Twelve Guardian Ninja (Arc),Shippuden,"July 03, 2008","January 19, 2011",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Sora', 'Asuma Sarutobi', 'Kazuma', 'Ibiki Morino', 'Shikamaru Nara', 'Chōji Akimichi', 'Kiba Inuzuka', 'Tsunade', 'Danzō', 'Homura Mitokado', 'Koharu Utatane', 'Shizune', 'Tatsuji']"
65,Lockdown of Darkness,Twelve Guardian Ninja (Arc),Shippuden,"July 03, 2008","January 26, 2011",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Sora', 'Asuma Sarutobi', 'Shikamaru Nara', 'Chōji Akimichi', 'Tsunade', 'Genma Shiranui', 'Shizune', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Konohamaru', 'Moegi', 'Udon', 'Ebisu', 'Kazuma', 'Fudō', 'Fuen', 'Fūka', 'Kitane', 'Teuchi']"
66,Revived Souls,Twelve Guardian Ninja (Arc),Shippuden,"July 10, 2008","February 02, 2011",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Yamato', 'Sora', 'Asuma Sarutobi', 'Konohamaru', 'Ebisu', 'Tsunade', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Kiba Inuzuka', 'Rock Lee', 'Genma Shiranui', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Kazuma', 'Fudō', 'Fuen', 'Fūka', 'Kitane', 'Nauma', 'Seito', 'Tōu']"
67,Everyone's Struggle to the Death,Twelve Guardian Ninja (Arc),Shippuden,"July 24, 2008","February 09, 2011",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Yamato', 'Sora', 'Asuma Sarutobi', 'Tsunade', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Kiba Inuzuka', 'Rock Lee', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Genma Shiranui', 'Ebisu', 'Kazuma', 'Fudō', 'Fuen', 'Fūka', 'Kitane']"
68,Moment of Awakening,Twelve Guardian Ninja (Arc),Shippuden,"July 31, 2008","February 16, 2011",Filler,"['Naruto Uzumaki', 'Sora', 'Sora', 'Asuma Sarutobi', 'Hiruzen Sarutobi', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Kiba Inuzuka', 'Rock Lee', 'Genma Shiranui', 'Ebisu', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Kazuma', 'Fūka', 'Kitane', 'Nauma', 'Seito', 'Tōu', 'Hayate Gekkō']"
69,Despair,Twelve Guardian Ninja (Arc),Shippuden,"July 31, 2008","February 23, 2011",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Yamato', 'Sora', 'Asuma Sarutobi', 'Kazuma', 'Shizune', 'Tsunade', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Kiba Inuzuka', 'Rock Lee']"
70,Resonance (episode),Twelve Guardian Ninja (Arc),Shippuden,"August 07, 2008","March 02, 2011",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Yamato', 'Sora', 'Asuma Sarutobi', 'Kazuma', 'Fūka', 'Nine-Tailed Fox', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Kiba Inuzuka', 'Rock Lee']"
71,My Friend,Twelve Guardian Ninja (Arc),Shippuden,"August 14, 2008","March 09, 2011",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Sora', 'Asuma Sarutobi', 'Kazuma', 'Hidan', 'Kakuzu', 'Yugito', 'Shizune', 'Tsunade', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Kiba Inuzuka', 'Rock Lee']"
72,The Quietly Approaching Threat,Akatsuki Suppression Mission,Shippuden,"August 21, 2008","March 16, 2011",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Kakashi Hatake', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Tsunade', 'Shizune', 'Iruka Umino', 'Homura Mitokado', 'Koharu Utatane', 'Hiruzen', 'Konohamaru Sarutobi', 'Moegi', 'Udon', 'Hidan', 'Kakuzu', 'Yugito']"
73,Akatsuki's Invasion,Akatsuki Suppression Mission,Shippuden,"August 28, 2008","March 23, 2011",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Yamato', 'Tsunade', 'Shizune', 'Hidan', 'Kakuzu', 'Zetsu', 'Chiriku']"
74,Under the Starry Sky,Akatsuki Suppression Mission,Shippuden,"September 04, 2008","March 30, 2011",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Kakashi Hatake', 'Yamato', 'Tsunade', 'Asuma Sarutobi', 'Iruka Umino', 'Shizune', 'Izumo Kamizuki', 'Sasuke Uchiha', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Hidan', 'Kakuzu', 'Sentoki']"
75,The Old Monk's Prayer,Akatsuki Suppression Mission,Shippuden,"September 11, 2008","April 06, 2011",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Kakashi Hatake', 'Yamato', 'Shizune', 'Tsunade', 'Asuma Sarutobi', 'Shikamaru Nara', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Raidō Namiashi', 'Ino Yamanaka', 'Chōji Akimichi', 'Aoba Yamashiro', 'Chiriku', 'Hidan', 'Kakuzu', 'Bansai', 'Teuchi', 'Ayame']"
76,The Next Step,Akatsuki Suppression Mission,Shippuden,"September 25, 2008","April 16, 2011",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Kakashi Hatake', 'Yamato', 'Asuma Sarutobi', 'Shikamaru Nara', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Raidō Namiashi', 'Ino Yamanaka', 'Chōji Akimichi', 'Aoba Yamashiro', 'Tsunade', 'Shizune', 'Hidan', 'Kakuzu', 'Zangei']"
77,Climbing Silver,Akatsuki Suppression Mission,Shippuden,"September 25, 2008","April 23, 2011",Canon,"['Asuma Sarutobi', 'Shikamaru Nara', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Raidō Namiashi', 'Ino Yamanaka', 'Chōji Akimichi', 'Aoba Yamashiro', 'Hidan', 'Kakuzu', 'Tsunade', 'Kurenai Yūhi', 'Shizune']"
78,The Judgment,Akatsuki Suppression Mission,Shippuden,"October 02, 2008","April 30, 2011",Canon,"['Asuma Sarutobi', 'Shikamaru Nara', 'Hidan', 'Kakuzu', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Kurenai Yūhi']"
79,Unfulfilled Scream,Akatsuki Suppression Mission,Shippuden,"October 02, 2008","May 07, 2011",Canon,"['Asuma Sarutobi', 'Shikamaru Nara', 'Hidan', 'Kakuzu', 'Kurenai Yūhi', 'Kotetsu Hagane', 'Izumo Kamizuki']"
80,Last Words,Akatsuki Suppression Mission,Shippuden,"October 16, 2008","May 14, 2011",Canon,"['Asuma Sarutobi', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Raidō Namiashi', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Aoba Yamashiro', 'Kurenai Yūhi', 'Hidan', 'Kakuzu', 'Nagato']"
81,Sad News,Akatsuki Suppression Mission,Shippuden,"October 23, 2008","May 21, 2011",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Kakashi Hatake', 'Yamato', 'Shikamaru Nara', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Tsunade', 'Nagato', 'Hidan', 'Kakuzu', 'Yugito']"
82,Team 10 (episode),Akatsuki Suppression Mission,Shippuden,"October 30, 2008","June 04, 2011",Canon,"['Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Kakashi Hatake', 'Tsunade', 'Konohamaru', 'Shikaku Nara', 'Chōza Akimichi', 'Kurenai Yūhi', 'Yoshino Nara', ""Chōji's Mother""]"
83,Target: Locked On,Akatsuki Suppression Mission,Shippuden,"November 06, 2008","June 18, 2011",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Yamato', 'Tsunade', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Asuma Sarutobi', 'Shizune', 'Nagato', 'Hidan', 'Kakuzu', 'Deidara', 'Yugito', 'Ibiki Morino', 'Zangei']"
84,Kakuzu's Abilities,Akatsuki Suppression Mission,Shippuden,"November 13, 2008","June 25, 2011",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Kakashi Hatake', 'Yamato', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Hidan', 'Kakuzu', 'Might Guy']"
85,Terrifying Secret,Akatsuki Suppression Mission,Shippuden,"November 20, 2008","July 02, 2011",Canon,"['Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Kakashi Hatake', 'Hidan', 'Kakuzu']"
86,Shikamaru's Genius,Akatsuki Suppression Mission,Shippuden,"December 04, 2008","July 09, 2011",Canon,"['Naruto Uzumaki', 'Kakashi Hatake', 'Yamato', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Hidan', 'Kakuzu']"
87,"When You Curse Someone, You Dig Your Own Grave",Akatsuki Suppression Mission,Shippuden,"December 04, 2008","July 16, 2011",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Kakashi Hatake', 'Yamato', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Asuma Sarutobi', 'Hidan', 'Kakuzu', 'Pakkun', 'Tsunade', 'Kiba', 'Hinata', 'Shino']"
88,Wind Release: Rasenshuriken!,Akatsuki Suppression Mission,Shippuden,"December 11, 2008","July 23, 2011",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Kakashi Hatake', 'Yamato', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Hidan', 'Kakuzu', 'Pakkun']"
89,The Price of Power,Three-Tails' Appearance,Shippuden,"December 18, 2008","July 30, 2011",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Yamato', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Shikaku Nara', 'Kurenai Yūhi', 'Kakuzu', 'Tsunade', 'Shizune', 'Orochimaru', 'Kabuto Yakushi', 'Guren']"
90,A Shinobi's Determination,Three-Tails' Appearance,Shippuden,"December 25, 2008","August 06, 2011",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Kakashi Hatake', 'Shizune', 'Tsunade', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Konohamaru', 'Moegi', 'Udon', 'Jiraiya', 'Orochimaru', 'Kabuto Yakushi', 'Guren', 'Yūkimaru', 'Teuchi', 'Ayame', 'Sasuke Uchiha', 'Ino', 'Yamato', 'Chōji']"
91,Orochimaru's Hideout Discovered,Three-Tails' Appearance,Shippuden,"January 08, 2009","August 20, 2011",Filler,"['Naruto Uzumaki', 'Kakashi Hatake', 'Sasuke Uchiha', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Orochimaru', 'Kabuto Yakushi', 'Guren', 'Yūkimaru', 'Rinji', 'Gozu', 'Jiraiya', 'Gamariki-san']"
92,Encounter,Three-Tails' Appearance,Shippuden,"January 15, 2009","August 27, 2011",Filler,"['Naruto Uzumaki', 'Kakashi Hatake', 'Sasuke Uchiha', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Orochimaru', 'Kabuto Yakushi', 'Guren', 'Yūkimaru', 'Rinji', 'Kigiri', 'Tsunade', 'Shizune', 'Pakkun', 'Gamariki-san', 'Gamakichi', 'Gamatatsu', 'Jiraiya']"
93,Connecting Hearts,Three-Tails' Appearance,Shippuden,"January 22, 2009","September 03, 2011",Filler,"['Naruto Uzumaki', 'Kakashi Hatake', 'Kiba Inuzuka', 'Hinata Hyūga', 'Jiraiya', 'Shino Aburame', 'Kabuto Yakushi', 'Yūkimaru', 'Rinji', 'Gozu', 'Kigiri', 'Tsunade', 'Shizune', 'Konohamaru', 'Pakkun', 'Gamakichi', 'Gamatatsu', 'Gamariki-san']"
94,A Night of Rain,Three-Tails' Appearance,Shippuden,"January 29, 2009","September 10, 2011",Filler,"['Naruto Uzumaki', 'Kakashi Hatake', 'Yamato', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Tsunade', 'Konohamaru', 'Gamakichi', 'Gamatatsu', 'Orochimaru', 'Kabuto Yakushi', 'Guren', 'Yūkimaru', 'Rinji', 'Gozu', 'Kigiri', 'Nurari']"
95,The Two Charms,Three-Tails' Appearance,Shippuden,"February 05, 2009","September 17, 2011",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Yamato', 'Sai', 'Konohamaru', 'Jiraiya', 'Tsunade', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Shizune', 'Guren', 'Yūkimaru', 'Rinji', ""Yūkimaru's Mother"", 'Gamakichi', 'Gamatatsu']"
96,The Unseeing Enemy,Three-Tails' Appearance,Shippuden,"February 12, 2009","October 01, 2011",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Gamakichi', 'Gamatatsu', 'Guren', 'Yūkimaru', 'Rinji', 'Gozu', 'Kigiri', 'Kihō', 'Nurari']"
97,The Labyrinth of Distorted Reflection,Three-Tails' Appearance,Shippuden,"February 19, 2009","October 08, 2011",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Yamato', 'Sai', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Tsunade', 'Shizune', 'Guren', 'Yūkimaru', 'Rinji', 'Gamakichi', 'Gamatatsu']"
98,The Target Appears,Three-Tails' Appearance,Shippuden,"February 26, 2009","November 05, 2011",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Yamato', 'Sai', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Pakkun', 'Gamakichi', 'Gamatatsu', 'Kabuto Yakushi', 'Guren', 'Yūkimaru', 'Rinji', 'Gozu']"
99,Raging Tailed Beast,Three-Tails' Appearance,Shippuden,"March 05, 2009","October 11, 2011",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Yamato', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Gamakichi', 'Gamatatsu', 'Kabuto Yakushi', 'Guren', 'Yūkimaru', 'Rinji', 'Gozu', 'Kihō', 'Deidara', 'Tobi', 'Shizune']"
100,Inside the Mist,Three-Tails' Appearance,Shippuden,"March 12, 2009","October 11, 2011",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Yamato', 'Sai', 'Tsunade', 'Shizune', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Rock Lee', 'Tenten', 'Ino Yamanaka', 'Might Guy', 'Pakkun', 'Orochimaru', 'Kabuto Yakushi', 'Guren', 'Yūkimaru', 'Rinji', 'Gozu', 'Kigiri', ""Yūkimaru's Mother""]"
